top_pct,veto_n,fn_rescued,te_moved_hr,sens,delta_hr_pp
0.005,23,1,22,0.9751552795031055,0.0378744215917215
0.01,53,2,51,0.9763681592039801,0.08727584105916453
0.025,105,3,102,0.9775840597758406,0.17290496813608947
0.05,221,3,218,0.9775840597758406,0.36392379007690323
0.1,502,6,496,0.98125,0.8266504190887147
0.15,813,10,803,0.9861809045226131,1.3387784675679693
0.25,1497,12,1485,0.9886649874055415,2.465130831425888
0.5,3818,17,3801,0.9949302915082383,6.287153984224481
