dataset,config,n_records,n_valid,sensitivity,specificity,fn,fp,decision_auto_rate,tier_auto_rate,human_review_rate,auto_include_rate,auto_exclude_rate,ranking_wss95_ecs,ranking_wss95_p_include,ranking_wss95_final_score,status,issues
CLEF_CD000996,a1,281,281,1.0,0.96,0,11,0.9679715302491103,0.99644128113879,0.03202846975088968,0.028469750889679714,0.9395017793594306,0.9037366548042705,,0.9286476868327401,ok,
CLEF_CD000996,a11_rule_exclude,281,281,1.0,0.26181818181818184,0,203,0.2846975088967972,0.2846975088967972,0.7153024911032029,0.028469750889679714,0.25622775800711745,0.8752669039145907,0.9250889679715302,0.9250889679715302,ok,
CLEF_CD000996,a13b_coverage_rule,281,281,1.0,0.33454545454545453,0,183,0.35587188612099646,0.35587188612099646,0.6441281138790036,0.028469750889679714,0.3274021352313167,0.8752669039145907,0.9250889679715302,0.9250889679715302,ok,
CLEF_CD000996,a14c_difficulty_floor_100,281,281,1.0,0.33454545454545453,0,183,0.35587188612099646,0.35587188612099646,0.6441281138790036,0.028469750889679714,0.3274021352313167,0.8752669039145907,0.9250889679715302,0.9250889679715302,ok,
CLEF_CD000996,a9,281,281,1.0,0.2872727272727273,0,196,0.3096085409252669,0.3096085409252669,0.6903914590747331,0.028469750889679714,0.28113879003558717,0.8752669039145907,0.9250889679715302,0.9250889679715302,ok,
CLEF_CD001261,a1,571,571,0.9545454545454546,0.8123861566484517,1,103,0.8493870402802102,0.9824868651488616,0.15061295971978983,0.06654991243432574,0.7828371278458844,0.7415936952714536,,0.8344133099824869,ok,
CLEF_CD001261,a11_rule_exclude,571,571,1.0,0.012750455373406194,0,542,0.09281961471103327,0.09281961471103327,0.9071803852889667,0.08056042031523643,0.012259194395796848,0.6820490367775831,0.09185639229422063,0.09185639229422063,ok,
CLEF_CD001261,a13b_coverage_rule,571,571,1.0,0.012750455373406194,0,542,0.09281961471103327,0.09281961471103327,0.9071803852889667,0.08056042031523643,0.012259194395796848,0.6820490367775831,0.09185639229422063,0.09185639229422063,ok,
CLEF_CD001261,a14c_difficulty_floor_100,571,571,1.0,0.012750455373406194,0,542,0.09281961471103327,0.09281961471103327,0.9071803852889667,0.08056042031523643,0.012259194395796848,0.6820490367775831,0.09185639229422063,0.09185639229422063,ok,
CLEF_CD001261,a9,571,571,0.9545454545454546,0.01092896174863388,1,543,0.9702276707530648,0.9702276707530648,0.0297723292469352,0.957968476357268,0.012259194395796848,0.7521015761821366,0.8309106830122591,0.8309106830122591,ok,
CLEF_CD004414,a1,336,336,1.0,0.9088145896656535,0,30,0.9553571428571429,0.9910714285714286,0.044642857142857144,0.06547619047619048,0.8898809523809523,0.8458333333333333,,0.8398809523809523,ok,
