top_pct,records_veto,fn_rescued,te_moved_to_hr,sens,spec,delta_auto_pp,delta_hr_pp,n_total,tp,fn,tn,fp
0.001,1,0,1,0.9933431952662722,0.25754949365933766,-0.0016217180481059579,0.0016217180481004068,61663,1343,9,8469,24414
0.005,1,0,1,0.9933431952662722,0.25754949365933766,-0.0016217180481059579,0.0016217180481004068,61663,1343,9,8469,24414
0.01,6,0,6,0.9933431952662722,0.25743658373380374,-0.00973030828860244,0.00973030828860244,61663,1343,9,8464,24414
0.025,36,1,35,0.9940784603997039,0.25678102834180644,-0.05838184973160354,0.05838184973160909,61663,1343,8,8435,24414
0.05,95,1,94,0.9940784603997039,0.2554437328453797,-0.154063214569522,0.15406321456951644,61663,1343,8,8376,24414
0.1,270,2,268,0.9948148148148148,0.25147167034584256,-0.4378638729870432,0.4378638729870432,61663,1343,7,8202,24414
0.25,1102,6,1096,0.9977711738484398,0.23197432993582484,-1.7871332890063707,1.7871332890063762,61663,1343,3,7374,24414
0.5,3133,7,3126,0.9985130111524163,0.17958196115330333,-5.080842644697792,5.080842644697797,61663,1343,2,5344,24414
