strategy,threshold,n,tp,fn,fp,tn,sensitivity,specificity,ppv,npv,accuracy,auto_rate,include_rate,exclude_rate
hr_as_include,,58085,1353,3,48772,7957,0.9977876106194691,0.14026335736572124,0.026992518703241895,0.9996231155778894,0.1602823448394594,1.0,0.8629594559696996,0.13704054403030042
hr_as_exclude,,58085,818,538,4643,52086,0.6032448377581121,0.9181547356731126,0.14978941585790148,0.9897765278200061,0.910803133339072,1.0,0.094017388310235,0.905982611689765
p_include_threshold,0.0,58085,1356,0,56729,0,1.0,0.0,0.02334509770164414,nan,0.02334509770164414,1.0,1.0,0.0
p_include_threshold,1.6076063800896003e-06,58085,1355,1,56687,42,0.9992625368731564,0.0007403620723086958,0.023345163846869507,0.9767441860465116,0.024050959800292676,1.0,0.9992597056038565,0.0007402943961435826
p_include_threshold,3.2152127601792007e-06,58085,1355,1,56687,42,0.9992625368731564,0.0007403620723086958,0.023345163846869507,0.9767441860465116,0.024050959800292676,1.0,0.9992597056038565,0.0007402943961435826
p_include_threshold,3.427418304156551e-06,58085,1355,1,56669,60,0.9992625368731564,0.0010576601032981367,0.02335240590100648,0.9836065573770492,0.02436085047774813,1.0,0.998949814926401,0.0010501850735990359
p_include_threshold,3.6396238481339015e-06,58085,1355,1,56669,60,0.9992625368731564,0.0010576601032981367,0.02335240590100648,0.9836065573770492,0.02436085047774813,1.0,0.998949814926401,0.0010501850735990359
p_include_threshold,4.055272817887399e-06,58085,1355,1,56648,81,0.9992625368731564,0.0014278411394524847,0.023360860645139044,0.9878048780487805,0.024722389601446158,1.0,0.9985882758027029,0.0014117241972970646
p_include_threshold,4.4709217876408975e-06,58085,1355,1,56648,81,0.9992625368731564,0.0014278411394524847,0.023360860645139044,0.9878048780487805,0.024722389601446158,1.0,0.9985882758027029,0.0014117241972970646
p_include_threshold,7.178978278052683e-06,58085,1355,1,56647,82,0.9992625368731564,0.001445468807840787,0.023361263404710182,0.9879518072289156,0.024739605750193683,1.0,0.9985710596539554,0.0014289403460445898
p_include_threshold,9.88703476846447e-06,58085,1355,1,56647,82,0.9992625368731564,0.001445468807840787,0.023361263404710182,0.9879518072289156,0.024739605750193683,1.0,0.9985710596539554,0.0014289403460445898
p_include_threshold,1.2561957283291397e-05,58085,1355,1,56630,99,0.9992625368731564,0.0017451391704419257,0.023368112442873158,0.99,0.02503228027890161,1.0,0.9982783851252475,0.0017216148747525178
p_include_threshold,1.5236879798118325e-05,58085,1355,1,56630,99,0.9992625368731564,0.0017451391704419257,0.023368112442873158,0.99,0.02503228027890161,1.0,0.9982783851252475,0.0017216148747525178
p_include_threshold,1.6503949300472138e-05,58085,1355,1,56629,100,0.9992625368731564,0.001762766838830228,0.02336851545253863,0.9900990099009901,0.025049496427649136,1.0,0.9982611689765,0.001738831023500043
p_include_threshold,1.777101880282595e-05,58085,1355,1,56629,100,0.9992625368731564,0.001762766838830228,0.02336851545253863,0.9900990099009901,0.025049496427649136,1.0,0.9982611689765,0.001738831023500043
p_include_threshold,1.7780137337105036e-05,58085,1355,1,56619,110,0.9992625368731564,0.0019390435227132508,0.023372546313864834,0.990990990990991,0.025221657915124387,1.0,0.9980890074890247,0.0019109925109752949
p_include_threshold,1.7789255871384124e-05,58085,1355,1,56619,110,0.9992625368731564,0.0019390435227132508,0.023372546313864834,0.990990990990991,0.025221657915124387,1.0,0.9980890074890247,0.0019109925109752949
p_include_threshold,1.7795101314453993e-05,58085,1355,1,56590,139,0.9992625368731564,0.002450245905974017,0.02338424367935111,0.9928571428571429,0.025720926228802617,1.0,0.9975897391753464,0.002410260824653525
p_include_threshold,1.7800946757523862e-05,58085,1355,1,56590,139,0.9992625368731564,0.002450245905974017,0.02338424367935111,0.9928571428571429,0.025720926228802617,1.0,0.9975897391753464,0.002410260824653525
p_include_threshold,1.7815759960484453e-05,58085,1355,1,56562,167,0.9992625368731564,0.0029438206208464808,0.02339554880259682,0.9940476190476191,0.026202978393733322,1.0,0.9971076870104157,0.00289231298958423
