dataset,scope,true_label,proposed_direction,hr_primary_cause,n
Walker_2018,other,1,EXCLUDE,exclude_blocked_by_inclusion_ecs_or_possible_eas_widened_margin,199
CLEF_CD004414,external,0,INCLUDE,include_blocked_by_low_ecs_or_possible_eas_widened_margin,196
Cohen_Opiods,external,0,INCLUDE,include_blocked_by_eas_or_margin_unobserved,196
Cohen_NSAIDS,external,0,EXCLUDE,exclude_blocked_by_exclude_certainty,191
CLEF_CD009069,external,0,INCLUDE,include_blocked_by_eas_or_margin_unobserved,189
CLEF_CD012069,external,1,EXCLUDE,exclude_blocked_by_exclude_certainty_or_possible_eas_widened_margin,167
Cohen_ProtonPumpInhibitors,external,0,EXCLUDE,exclude_blocked_by_inclusion_ecs,166
CLEF_CD011768,external,0,EXCLUDE,exclude_blocked_by_inclusion_ecs,161
Wolters_2018,other,0,EXCLUDE,exclude_blocked_by_exclude_certainty,156
Cohen_Antihistamines,external,0,EXCLUDE,exclude_blocked_by_exclude_certainty,152
Cohen_Estrogens,external,0,INCLUDE,include_blocked_by_low_ecs_or_possible_eas_widened_margin,151
CLEF_CD010239,external,0,INCLUDE,include_blocked_by_low_ecs_or_possible_eas_widened_margin,146
CLEF_CD010038,external,0,EXCLUDE,exclude_blocked_by_inclusion_ecs,143
Cohen_SkeletalMuscleRelaxants,external,0,INCLUDE,include_blocked_by_eas_or_margin_unobserved,142
CLEF_CD007867,external,0,EXCLUDE,exclude_blocked_by_exclude_certainty,137
CLEF_CD010558,external,0,EXCLUDE,exclude_blocked_by_inclusion_ecs_or_possible_eas_widened_margin,134
Cohen_SkeletalMuscleRelaxants,external,0,EXCLUDE,exclude_blocked_by_exclude_certainty,128
CLEF_CD009642,external,0,INCLUDE,include_blocked_by_eas_or_margin_unobserved,115
Chou_2004,other,0,EXCLUDE,exclude_blocked_by_exclude_certainty,114
CLEF_CD011977,external,0,INCLUDE,include_blocked_by_low_ecs_or_possible_eas_widened_margin,106
Cohen_NSAIDS,external,0,EXCLUDE,exclude_blocked_by_inclusion_ecs,106
CLEF_CD000996,external,0,EXCLUDE,exclude_blocked_by_exclude_certainty,105
Moran_2021,other,1,INCLUDE,include_blocked_by_low_ecs_or_possible_eas_widened_margin,103
Wassenaar_2017,other,0,INCLUDE,include_blocked_by_eas_or_margin_unobserved,96
Smid_2020,other,0,EXCLUDE,exclude_blocked_by_inclusion_ecs,95
CLEF_CD010038,external,0,EXCLUDE,exclude_blocked_by_two_model_eas_or_margin_or_possible_eas_widened_margin,91
van_de_Schoot_2018,other,0,INCLUDE,include_blocked_by_eas_or_margin_unobserved,91
Appenzeller-Herzog_2019,other,0,EXCLUDE,exclude_blocked_by_exclude_certainty,90
CLEF_CD001261,external,0,INCLUDE,include_blocked_by_eas_or_margin_unobserved,87
CLEF_CD011768,external,0,EXCLUDE,exclude_blocked_by_inclusion_ecs_or_possible_eas_widened_margin,87
CLEF_CD009069,external,0,EXCLUDE,exclude_blocked_by_inclusion_ecs,84
