scope,p_include_max,ecs_max,exclude_certainty_policy,model_policy,asreview_rank_min,selected_hr,selected_true_excludes,selected_true_includes_extra_fn,selection_precision_true_exclude,auto_rate_gain,new_auto_rate,new_fn,new_sensitivity
all,0.005,0.4,ignore,any,0.8,1978,1978,0,1.0,0.00871592175940002,0.4084365539942099,170,0.9593884376493073
all,0.005,0.4,ignore,early2,0.8,1976,1976,0,1.0,0.008707108896144813,0.4084277411309547,170,0.9593884376493073
all,0.005,0.3,ignore,any,0.8,1771,1771,0,1.0,0.007803790412486065,0.407524422647296,170,0.9593884376493073
all,0.005,0.3,ignore,early2,0.8,1769,1769,0,1.0,0.007794977549230858,0.4075156097840408,170,0.9593884376493073
all,0.002,0.4,ignore,any,0.8,1755,1755,0,1.0,0.0077332875064444065,0.40745391974125433,170,0.9593884376493073
all,0.002,0.4,ignore,early2,0.8,1754,1754,0,1.0,0.007728881074816803,0.4074495133096267,170,0.9593884376493073
all,0.002,0.3,ignore,any,0.8,1587,1587,0,1.0,0.006993006993006993,0.4067136392278169,170,0.9593884376493073
all,0.002,0.3,ignore,early2,0.8,1586,1586,0,1.0,0.006988600561379389,0.4067092327961893,170,0.9593884376493073
all,0.005,0.2,ignore,any,0.8,1420,1420,0,1.0,0.006257132911197183,0.4059777651460071,170,0.9593884376493073
all,0.005,0.2,ignore,early2,0.8,1418,1418,0,1.0,0.006248320047941976,0.40596895228275187,170,0.9593884376493073
all,0.002,0.2,ignore,any,0.8,1268,1268,0,1.0,0.005587355303801429,0.40530798753861136,170,0.9593884376493073
all,0.002,0.2,ignore,early2,0.8,1267,1267,0,1.0,0.005582948872173825,0.4053035811069837,170,0.9593884376493073
all,0.01,0.2,require_pass,any,,546,546,0,1.0,0.002405911668671593,0.4021265439034815,170,0.9593884376493073
all,0.01,0.2,require_pass,early2,,546,546,0,1.0,0.002405911668671593,0.4021265439034815,170,0.9593884376493073
all,0.01,0.3,require_pass,any,,546,546,0,1.0,0.002405911668671593,0.4021265439034815,170,0.9593884376493073
