variant,n,tp,fn,tn,fp,sensitivity,specificity,auto_rate,human_review_rate,auto_include_rate,auto_exclude_rate,delta_auto_rate,delta_hr_rate,delta_fn
auto_exclude_veto_any_include,61663,1590,9,8470,51594,0.9943714821763602,0.1410162493340437,0.5552113909475699,0.4447886090524301,0.41770591764915754,0.13750547329841234,0.0,0.0,0
auto_exclude_veto_both_include,61663,1590,9,8470,51594,0.9943714821763602,0.1410162493340437,0.5552113909475699,0.4447886090524301,0.41770591764915754,0.13750547329841234,0.0,0.0,0
base,61663,1590,9,8470,51594,0.9943714821763602,0.1410162493340437,0.5552113909475699,0.4447886090524301,0.41770591764915754,0.13750547329841234,0.0,0.0,0
hr_include_only_both_include,61663,1590,9,8470,51594,0.9943714821763602,0.1410162493340437,0.5558762953472909,0.44412370465270906,0.4183708220488786,0.13750547329841234,0.0006649043997210002,-0.0006649043997210557,0
include_only_plus_veto_any_include,61663,1590,9,8470,51594,0.9943714821763602,0.1410162493340437,0.5558762953472909,0.44412370465270906,0.4183708220488786,0.13750547329841234,0.0006649043997210002,-0.0006649043997210557,0
old_hr_both_include_or_exclude,61663,1462,137,19404,40660,0.9143214509068167,0.32305540756526374,0.7352707458281303,0.26472925417186965,0.4183708220488786,0.31689992377925175,0.18005935488056046,-0.18005935488056046,128
