dataset,variant,n,sensitivity,specificity,auto_rate,human_review_rate,auto_include_rate,auto_exclude_rate,tp,fn,tn,fp,fn_added_vs_base,fn_rescued_vs_base,decision_counts
van_de_Schoot_2018,hr_include_only_both_include,4538,1.0,0.023333333333333334,0.033274570295284266,0.9667254297047158,0.010136624063464082,0.023137946231820184,38,0,105,4395,0,0,"{'INCLUDE': 46, 'EXCLUDE': 105, 'HUMAN_REVIEW': 4387}"
van_de_Schoot_2018,auto_exclude_veto_any_include,4538,1.0,0.023333333333333334,0.03217276333186426,0.9678272366681357,0.009034817100044073,0.023137946231820184,38,0,105,4395,0,0,"{'INCLUDE': 41, 'EXCLUDE': 105, 'HUMAN_REVIEW': 4392}"
van_de_Schoot_2018,auto_exclude_veto_both_include,4538,1.0,0.023333333333333334,0.03217276333186426,0.9678272366681357,0.009034817100044073,0.023137946231820184,38,0,105,4395,0,0,"{'INCLUDE': 41, 'EXCLUDE': 105, 'HUMAN_REVIEW': 4392}"
van_de_Schoot_2018,include_only_plus_veto_any_include,4538,1.0,0.023333333333333334,0.033274570295284266,0.9667254297047158,0.010136624063464082,0.023137946231820184,38,0,105,4395,0,0,"{'INCLUDE': 46, 'EXCLUDE': 105, 'HUMAN_REVIEW': 4387}"
Moran_2021,base,5199,0.963963963963964,0.012971698113207548,0.04962492787074437,0.9503750721292556,0.036160800153875745,0.013464127716868628,107,4,66,5022,0,0,"{'INCLUDE': 188, 'EXCLUDE': 70, 'HUMAN_REVIEW': 4941}"
Moran_2021,old_hr_both_include_or_exclude,5199,0.40540540540540543,0.6071147798742138,0.6435853048663205,0.35641469513367957,0.0367378341988844,0.606847470667436,45,66,3089,1999,62,0,"{'INCLUDE': 191, 'EXCLUDE': 3155, 'HUMAN_REVIEW': 1853}"
Moran_2021,hr_include_only_both_include,5199,0.963963963963964,0.012971698113207548,0.05020196191575303,0.949798038084247,0.0367378341988844,0.013464127716868628,107,4,66,5022,0,0,"{'INCLUDE': 191, 'EXCLUDE': 70, 'HUMAN_REVIEW': 4938}"
Moran_2021,auto_exclude_veto_any_include,5199,0.963963963963964,0.012971698113207548,0.04962492787074437,0.9503750721292556,0.036160800153875745,0.013464127716868628,107,4,66,5022,0,0,"{'INCLUDE': 188, 'EXCLUDE': 70, 'HUMAN_REVIEW': 4941}"
Moran_2021,auto_exclude_veto_both_include,5199,0.963963963963964,0.012971698113207548,0.04962492787074437,0.9503750721292556,0.036160800153875745,0.013464127716868628,107,4,66,5022,0,0,"{'INCLUDE': 188, 'EXCLUDE': 70, 'HUMAN_REVIEW': 4941}"
Moran_2021,include_only_plus_veto_any_include,5199,0.963963963963964,0.012971698113207548,0.05020196191575303,0.949798038084247,0.0367378341988844,0.013464127716868628,107,4,66,5022,0,0,"{'INCLUDE': 191, 'EXCLUDE': 70, 'HUMAN_REVIEW': 4938}"
Radjenovic_2013,base,5935,1.0,0.28452522507219297,0.4328559393428812,0.5671440606571188,0.1506318449873631,0.2822240943555181,48,0,1675,4212,0,0,"{'INCLUDE': 894, 'EXCLUDE': 1675, 'HUMAN_REVIEW': 3366}"
Radjenovic_2013,old_hr_both_include_or_exclude,5935,1.0,0.3241039578732801,0.472620050547599,0.527379949452401,0.15113732097725358,0.3214827295703454,48,0,1908,3979,0,0,"{'INCLUDE': 897, 'EXCLUDE': 1908, 'HUMAN_REVIEW': 3130}"
Radjenovic_2013,hr_include_only_both_include,5935,1.0,0.28452522507219297,0.43336141533277167,0.5666385846672283,0.15113732097725358,0.2822240943555181,48,0,1675,4212,0,0,"{'INCLUDE': 897, 'EXCLUDE': 1675, 'HUMAN_REVIEW': 3363}"
Radjenovic_2013,auto_exclude_veto_any_include,5935,1.0,0.28452522507219297,0.4328559393428812,0.5671440606571188,0.1506318449873631,0.2822240943555181,48,0,1675,4212,0,0,"{'INCLUDE': 894, 'EXCLUDE': 1675, 'HUMAN_REVIEW': 3366}"
Radjenovic_2013,auto_exclude_veto_both_include,5935,1.0,0.28452522507219297,0.4328559393428812,0.5671440606571188,0.1506318449873631,0.2822240943555181,48,0,1675,4212,0,0,"{'INCLUDE': 894, 'EXCLUDE': 1675, 'HUMAN_REVIEW': 3366}"
Radjenovic_2013,include_only_plus_veto_any_include,5935,1.0,0.28452522507219297,0.43336141533277167,0.5666385846672283,0.15113732097725358,0.2822240943555181,48,0,1675,4212,0,0,"{'INCLUDE': 897, 'EXCLUDE': 1675, 'HUMAN_REVIEW': 3363}"
Leenaars_2020,base,7169,1.0,0.020191285866099893,0.9973497000976427,0.002650299902357372,0.978797600781141,0.018552099316501605,582,0,133,6454,0,0,"{'INCLUDE': 7017, 'EXCLUDE': 133, 'HUMAN_REVIEW': 19}"
Leenaars_2020,old_hr_both_include_or_exclude,7169,0.9982817869415808,0.020798542583877335,0.9980471474403683,0.0019528525596317478,0.978797600781141,0.019249546659227228,581,1,137,6450,1,0,"{'INCLUDE': 7017, 'EXCLUDE': 138, 'HUMAN_REVIEW': 14}"
Leenaars_2020,hr_include_only_both_include,7169,1.0,0.020191285866099893,0.9973497000976427,0.002650299902357372,0.978797600781141,0.018552099316501605,582,0,133,6454,0,0,"{'INCLUDE': 7017, 'EXCLUDE': 133, 'HUMAN_REVIEW': 19}"
Leenaars_2020,auto_exclude_veto_any_include,7169,1.0,0.020191285866099893,0.9973497000976427,0.002650299902357372,0.978797600781141,0.018552099316501605,582,0,133,6454,0,0,"{'INCLUDE': 7017, 'EXCLUDE': 133, 'HUMAN_REVIEW': 19}"
Leenaars_2020,auto_exclude_veto_both_include,7169,1.0,0.020191285866099893,0.9973497000976427,0.002650299902357372,0.978797600781141,0.018552099316501605,582,0,133,6454,0,0,"{'INCLUDE': 7017, 'EXCLUDE': 133, 'HUMAN_REVIEW': 19}"
Leenaars_2020,include_only_plus_veto_any_include,7169,1.0,0.020191285866099893,0.9973497000976427,0.002650299902357372,0.978797600781141,0.018552099316501605,582,0,133,6454,0,0,"{'INCLUDE': 7017, 'EXCLUDE': 133, 'HUMAN_REVIEW': 19}"
Wassenaar_2017,base,7657,1.0,0.006228465412138882,0.04375081624657176,0.9562491837534283,0.03761264202690349,0.006138174219668277,111,0,47,7499,0,0,"{'INCLUDE': 288, 'EXCLUDE': 47, 'HUMAN_REVIEW': 7322}"
Wassenaar_2017,old_hr_both_include_or_exclude,7657,0.5675675675675675,0.5074211502782932,0.545122110487136,0.45487788951286406,0.03878803709024422,0.5063340733968917,63,48,3829,3717,48,0,"{'INCLUDE': 297, 'EXCLUDE': 3877, 'HUMAN_REVIEW': 3483}"
Wassenaar_2017,hr_include_only_both_include,7657,1.0,0.006228465412138882,0.0449262113099125,0.9550737886900875,0.03878803709024422,0.006138174219668277,111,0,47,7499,0,0,"{'INCLUDE': 297, 'EXCLUDE': 47, 'HUMAN_REVIEW': 7313}"
Wassenaar_2017,auto_exclude_veto_any_include,7657,1.0,0.006228465412138882,0.04375081624657176,0.9562491837534283,0.03761264202690349,0.006138174219668277,111,0,47,7499,0,0,"{'INCLUDE': 288, 'EXCLUDE': 47, 'HUMAN_REVIEW': 7322}"
Wassenaar_2017,auto_exclude_veto_both_include,7657,1.0,0.006228465412138882,0.04375081624657176,0.9562491837534283,0.03761264202690349,0.006138174219668277,111,0,47,7499,0,0,"{'INCLUDE': 288, 'EXCLUDE': 47, 'HUMAN_REVIEW': 7322}"
Wassenaar_2017,include_only_plus_veto_any_include,7657,1.0,0.006228465412138882,0.0449262113099125,0.9550737886900875,0.03878803709024422,0.006138174219668277,111,0,47,7499,0,0,"{'INCLUDE': 297, 'EXCLUDE': 47, 'HUMAN_REVIEW': 7313}"
Hall_2012,base,8793,0.9903846153846154,0.6386235470134654,0.6746275446377801,0.3253724553622199,0.04344364835664733,0.6311838962811327,103,1,5549,3140,0,0,"{'INCLUDE': 382, 'EXCLUDE': 5550, 'HUMAN_REVIEW': 2861}"
Hall_2012,old_hr_both_include_or_exclude,8793,0.9903846153846154,0.6616411554839452,0.6978278175821676,0.3021721824178324,0.043898555669282385,0.6539292619128853,103,1,5749,2940,0,0,"{'INCLUDE': 386, 'EXCLUDE': 5750, 'HUMAN_REVIEW': 2657}"
Hall_2012,hr_include_only_both_include,8793,0.9903846153846154,0.6386235470134654,0.675082451950415,0.3249175480495849,0.043898555669282385,0.6311838962811327,103,1,5549,3140,0,0,"{'INCLUDE': 386, 'EXCLUDE': 5550, 'HUMAN_REVIEW': 2857}"
Hall_2012,auto_exclude_veto_any_include,8793,0.9903846153846154,0.6386235470134654,0.6746275446377801,0.3253724553622199,0.04344364835664733,0.6311838962811327,103,1,5549,3140,0,0,"{'INCLUDE': 382, 'EXCLUDE': 5550, 'HUMAN_REVIEW': 2861}"
Hall_2012,auto_exclude_veto_both_include,8793,0.9903846153846154,0.6386235470134654,0.6746275446377801,0.3253724553622199,0.04344364835664733,0.6311838962811327,103,1,5549,3140,0,0,"{'INCLUDE': 382, 'EXCLUDE': 5550, 'HUMAN_REVIEW': 2861}"
Hall_2012,include_only_plus_veto_any_include,8793,0.9903846153846154,0.6386235470134654,0.675082451950415,0.3249175480495849,0.043898555669282385,0.6311838962811327,103,1,5549,3140,0,0,"{'INCLUDE': 386, 'EXCLUDE': 5550, 'HUMAN_REVIEW': 2857}"
van_Dis_2020,base,9114,1.0,0.004866180048661801,0.9982444590739522,0.0017555409260478386,0.9934167215273206,0.0048277375466315555,72,0,44,8998,0,0,"{'INCLUDE': 9054, 'EXCLUDE': 44, 'HUMAN_REVIEW': 16}"
van_Dis_2020,old_hr_both_include_or_exclude,9114,0.9722222222222222,0.0061933200619332,0.999780557384244,0.00021944261575597982,0.9934167215273206,0.006363835856923414,70,2,56,8986,2,0,"{'INCLUDE': 9054, 'EXCLUDE': 58, 'HUMAN_REVIEW': 2}"
van_Dis_2020,hr_include_only_both_include,9114,1.0,0.004866180048661801,0.9982444590739522,0.0017555409260478386,0.9934167215273206,0.0048277375466315555,72,0,44,8998,0,0,"{'INCLUDE': 9054, 'EXCLUDE': 44, 'HUMAN_REVIEW': 16}"
van_Dis_2020,auto_exclude_veto_any_include,9114,1.0,0.004866180048661801,0.9982444590739522,0.0017555409260478386,0.9934167215273206,0.0048277375466315555,72,0,44,8998,0,0,"{'INCLUDE': 9054, 'EXCLUDE': 44, 'HUMAN_REVIEW': 16}"
van_Dis_2020,auto_exclude_veto_both_include,9114,1.0,0.004866180048661801,0.9982444590739522,0.0017555409260478386,0.9934167215273206,0.0048277375466315555,72,0,44,8998,0,0,"{'INCLUDE': 9054, 'EXCLUDE': 44, 'HUMAN_REVIEW': 16}"
van_Dis_2020,include_only_plus_veto_any_include,9114,1.0,0.004866180048661801,0.9982444590739522,0.0017555409260478386,0.9934167215273206,0.0048277375466315555,72,0,44,8998,0,0,"{'INCLUDE': 9054, 'EXCLUDE': 44, 'HUMAN_REVIEW': 16}"
