rule,veto_n,fn_rescued,te_moved_hr,sens,spec,delta_hr_pp
lex top 10%,270,2,268,0.9948148148148148,0.25147167034584256,0.4378638729870432
lex top 25%,1102,6,1096,0.9977711738484398,0.23197432993582484,1.7871332890063762
reasoner ANY = INCLUDE,1,1,0,0.9940784603997039,0.25757207152414546,0.0016217180481004068
reasoner ≥2 INCLUDE,0,0,0,0.9933431952662722,0.25757207152414546,0.0
hybrid OR: lex top 10% OR any reasoner INC,270,2,268,0.9948148148148148,0.25147167034584256,0.4378638729870432
hybrid OR: lex top 25% OR any reasoner INC,1102,6,1096,0.9977711738484398,0.23197432993582484,1.7871332890063762
hybrid AND: lex top 25% AND ≥1 reasoner INC (cached),1,1,0,0.9940784603997039,0.25757207152414546,0.0016217180481004068
hybrid AND: lex top 50% AND ≥1 reasoner INC (cached),1,1,0,0.9940784603997039,0.25757207152414546,0.0016217180481004068
hybrid SMART: lex top 25% OR (cached & any reasoner INC),1102,6,1096,0.9977711738484398,0.23197432993582484,1.7871332890063762
